District,ONS code,Region,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08
Adur,45UB,S East,793,854,,100,279,119,99,70.0
Allerdale,16UB,North West,76,87,83,90,78,104,39,65.0
Alnwick,35UB,North East,64,23,38,41,23,22,5,2.0
Amber Valley,17UB,E Midlands,147,243,231,103,,45,27,21.0
Arun,45UC,S East,590,,881,564,439,257,180,97.0
Ashfield,37UB,E Midlands,,641,,,291,163,83,30.0
Ashford,29UB,S East,612,686,774,428,214,172,156,82.0
Aylesbury Vale,11UB,S East,507,876,,556,206,220,87,
Babergh,42UB,Eastern,391,718,648,496,349,251,87,46.0
Barking and Dagenham,00AB,London,2761,,3201,2080,940,1767,1053,326.0
Barnet,00AC,London,3287,4431,3940,2697,2593,1266,425,255.0
Barnsley UA,00CC,Yorkshire/Humber,248,549,1275,1100,,272,231,395.0
Barrow-in-Furness,16UC,North West,38,83,,,63,52,30,32.0
Basildon,22UB,Eastern,1529,1746,1781,1244,573,413,191,123.0
Basingstoke and Deane,24UB,S East,780,985,,702,345,391,250,175.0
Bassetlaw,37UC,E Midlands,92,348,471,334,153,117,63,48.0
Bath and NE Somerset UA,00HA,S West,796,590,781,458,501,253,287,166.0
Bedford,09UD,Eastern,876,1455,1578,1191,654,531,252,137.0
Berwick-upon-Tweed,35UC,North East,14,32,53,41,27,16,11,9.0
Bexley,00AD,London,1356,1776,2391,910,781,1197,776,395.0
Birmingham UA,00CN,W Midlands,5466,5257,,3231,2273,1920,1530,939.0
Blaby,31UB,E Midlands,113,,191,130,85,34,2,
Blackburn with Darwen UA,00EX,North West,184,231,276,249,493,325,205,127.0
Blackpool UA,00EY,North West,499,134,340,327,196,141,131,118.0
Blyth Valley,35UD,North East,167,130,214,104,129,102,46,26.0
Bolsover,17UC,E Midlands,249,208,108,102,,31,15,13.0
Bolton,00BL,North West,,,527,416,312,210,104,44.0
Boston,32UB,E Midlands,65,284,259,,232,74,34,61.0
Bournemouth UA,00HN,S West,878,1420,1612,1377,,490,306,205.0
Bracknell Forest UA,00MA,S East,707,865,744,368,162,197,,100.0
Bradford UA,00CX,Yorkshire/Humber,2600,1607,1825,,1025,995,439,285.0
Braintree,22UC,Eastern,554,715,1010,427,276,263,239,64.0
Breckland,33UB,Eastern,238,307,354,401,,,169,
Brent,00AE,London,3471,4115,4184,1775,1014,1036,712,426.0
Brentwood,22UD,Eastern,400,500,,432,,88,82,49.0
Bridgnorth,39UB,W Midlands,37,49,45,36,23,25,12,13.0
Brighton and Hove UA,00ML,S East,4000,2519,2260,1317,,860,590,310.0
Broadland,33UC,Eastern,123,196,194,149,,,84,
Bromley,00AF,London,3895,4215,3129,1086,581,677,607,365.0
Bromsgrove,47UB,W Midlands,119,,,400,151,239,127,51.0
Broxbourne,26UB,Eastern,1393,544,591,613,,230,158,27.0
Broxtowe,37UD,E Midlands,171,437,713,366,177,144,90,33.0
Burnley,30UD,North West,147,105,,,,431,294,208.0
Bury,00BM,North West,173,,279,256,125,99,47,15.0
Calderdale UA,00CY,Yorkshire/Humber,441,802,658,361,308,229,66,166.0
Cambridge,12UB,Eastern,261,,884,681,,524,486,142.0
Camden,00AG,London,1629,1897,1676,1304,1069,819,539,306.0
Cannock Chase,41UB,W Midlands,30,50,,38,,,83,75.0
Canterbury,29UC,S East,809,974,1052,627,305,225,164,77.0
Caradon,15UB,S West,108,317,338,,,150,50,19.0
Carlisle,16UD,North West,504,232,258,200,245,,117,78.0
Carrick,15UC,S West,174,242,274,,174,263,107,40.0
Castle Morpeth,35UE,North East,30,66,109,62,43,36,19,11.0
Castle Point,22UE,Eastern,450,,,,136,171,62,29.0
Charnwood,31UC,E Midlands,153,256,275,139,,10,,48.0
Chelmsford,22UF,Eastern,800,700,650,334,,,79,34.0
Cheltenham,23UB,S West,,648,696,,,285,183,66.0
Cherwell,38UB,S East,,705,908,996,,513,258,169.0
Chester,13UB,North West,178,365,,359,292,239,132,191.0
Chesterfield,17UD,E Midlands,45,134,149,86,49,35,15,14.0
Chester-le-Street,20UB,North East,18,18,90,195,202,48,28,17.0
Chichester,45UD,S East,600,1081,489,456,256,177,117,65.0
Chiltern,11UC,S East,195,325,,317,110,,52,
Chorley,30UE,North West,300,274,,213,,,61,8.0
Christchurch,19UC,S West,73,156,85,101,20,59,27,22.0
City of Bristol UA,00HB,S West,2590,1353,2862,3172,772,414,358,326.0
City of Kingston-upon-Hull UA,00FA,Yorkshire/Humber,717,1254,1338,2000,1575,1589,782,504.0
City of London,00AA,London,,,158,140,100,74,59,33.0
Colchester,22UG,Eastern,319,579,424,,,299,170,32.0
Congleton,13UC,North West,35,65,,,,,,
Copeland,16UE,North West,106,118,,77,57,44,78,36.0
Corby,34UB,E Midlands,504,1200,,612,,,127,
Cotswold,23UC,S West,67,154,168,119,69,110,92,147.0
County of Herefordshire UA,00GA,W Midlands,368,336,324,225,301,,75,46.0
Coventry UA,00CQ,W Midlands,,1210,,1680,474,850,65,384.0
Craven,36UB,Yorkshire/Humber,108,119,,40,29,15,9,4.0
Crawley,45UE,S East,1145,1037,,936,,366,275,119.0
Crewe and Nantwich,13UD,North West,50,,94,81,,43,40,28.0
Croydon,00AH,London,2878,4376,4200,4000,,2439,1309,985.0
Dacorum,26UC,Eastern,1150,1300,,1202,514,459,221,100.0
Darlington UA,00EH,North East,98,,430,465,297,275,143,42.0
Dartford,29UD,S East,483,706,598,269,121,81,89,152.0
Daventry,34UC,E Midlands,388,613,509,286,,97,73,
Derby UA,00FK,E Midlands,579,996,1176,935,635,281,219,114.0
Derbyshire Dales,17UF,E Midlands,40,73,61,46,25,18,20,8.0
Derwentside,20UD,North East,15,89,221,501,90,151,84,64.0
Doncaster UA,00CE,Yorkshire/Humber,410,1313,1363,1488,2275,960,678,463.0
Dover,29UE,S East,469,683,524,358,171,92,97,
Dudley UA,00CR,W Midlands,234,272,800,676,,451,299,162.0
Durham City,20UE,North East,39,,150,175,,168,42,19.0
Ealing,00AJ,London,3754,4916,3975,4352,,5946,5245,395.0
Easington,20UF,North East,14,24,103,149,,152,41,19.0
East Cambridgeshire,12UC,Eastern,330,277,263,,,258,350,140.0
East Devon,18UB,S West,288,,423,329,,171,107,49.0
East Dorset,19UD,S West,279,282,292,223,75,49,29,6.0
East Hampshire,24UC,S East,209,311,,272,123,89,75,60.0
East Hertfordshire,26UD,Eastern,355,393,,473,286,165,70,37.0
East Lindsey,32UC,E Midlands,226,359,424,438,,122,69,0.0
East Northamptonshire,34UD,E Midlands,191,257,381,317,158,122,75,
East Riding of Yorkshire UA,00FB,Yorkshire/Humber,227,316,488,432,370,350,337,286.0
East Staffordshire,41UC,W Midlands,164,240,347,277,181,141,99,50.0
Eastbourne,21UC,S East,631,,,555,301,262,184,
Eastleigh,24UD,S East,200,225,,169,,,48,21.0
Eden,16UF,North West,60,35,,23,27,21,15,6.0
Ellesmere Port and Neston,13UE,North West,,,193,,,,,0.0
Elmbridge,43UB,S East,,,593,793,,247,173,51.0
Enfield,00AK,London,4711,6347,4973,3318,2368,,1434,1722
Epping Forest,22UH,Eastern,1838,,838,619,,145,85,58.0
Epsom and Ewell,43UC,S East,360,360,,186,251,105,107,122.0
Erewash,17UG,E Midlands,270,324,304,149,,82,48,52.0
Exeter,18UC,S West,,1317,1094,335,,193,163,
Fareham,24UE,S East,136,238,,141,,77,67,24.0
Fenland,12UD,Eastern,176,,,,142,203,29,20.0
Forest Heath,42UC,Eastern,145,680,,,,198,193,55.0
Forest of Dean,23UD,S West,186,360,,360,150,159,55,37.0
Fylde,30UF,North West,11,45,,98,,44,36,0.0
Gateshead UA,00CH,North East,149,143,,110,83,52,54,59.0
Gedling,37UE,E Midlands,,838,,656,194,149,72,28.0
Gloucester,23UE,S West,700,896,1200,685,1467,615,226,54.0
Gosport,24UF,S East,496,545,355,293,214,146,153,99.0
Gravesham,29UG,S East,884,942,1035,547,390,332,168,73.0
