ID_Estacion,Nombre,latitud,longitud,Fecha,Hora,SO2,NO,NOX,Direccion Viento,Temperatura,HR
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,1,3,1,2,161,12.8000001907349,78
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,2,3,1,2,162,12.8000001907349,76
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,3,3,1,2,164,12.8999996185303,74
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,4,3,1,2,179,12.8999996185303,74
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,5,3,1,2,158,12.8999996185303,72
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,6,3,1,2,177,13.3000001907349,71
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,7,3,1,2,178,13.6999998092651,69
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,8,3,1,2,188,14.3999996185303,67
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,9,3,1,2,181,15.3000001907349,67
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,10,4,1,4,179,16.7000007629395,62
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,11,3,1,2,181,18.3999996185303,55
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,12,3,1,2,182,19.3999996185303,51
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,13,3,1,2,196,19.5,50
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,14,3,1,2,181,19.8999996185303,49
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,15,3,3,20,235,18.1000003814697,65
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,16,3,3,25,225,18,69
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,17,3,2,13,239,16.2999992370605,81
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,18,3,1,2,227,15.3999996185303,89
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,19,3,1,5,194,15.3999996185303,80
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,20,3,1,2,215,15.3999996185303,75
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,21,2,1,6,181,14.1000003814697,83
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,22,3,1,6,222,13.5,87
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,23,3,1,13,155,13,92
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-21,24,3,1,4,176,13.8000001907349,87
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,1,4,2,19,161,13.3999996185303,87
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,2,5,1,10,166,13.1000003814697,88
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,3,5,1,10,173,12.6999998092651,90
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,4,6,1,7,154,12.8999996185303,86
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,5,8,1,13,150,12.5,88
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,6,12,1,14,160,12.3000001907349,89
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,7,13,1,12,180,12.6000003814697,86
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,8,11,1,15,161,12.8999996185303,85
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,9,25,16,48,164,14,81
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,10,39,9,29,133,16.8999996185303,69
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,11,12,1,2,50,18.2999992370605,67
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,12,7,1,2,39,18.6000003814697,68
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,13,6,1,2,47,18.5,70
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,14,5,1,2,45,18.2999992370605,72
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,15,4,1,2,40,18.5,72
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,16,4,1,2,38,18.2000007629395,75
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,17,4,1,4,44,17.7999992370605,80
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,18,4,1,2,24,17.3999996185303,68
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,19,3,1,6,24,17.1000003814697,65
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,20,4,1,8,335,16.8999996185303,74
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,21,8,1,15,201,15.1999998092651,81
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,22,11,1,19,202,15.3000001907349,77
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,23,12,1,15,184,15.1999998092651,80
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-22,24,9,1,10,199,15.3000001907349,85
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,1,6,1,4,198,15.6000003814697,88
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,2,4,1,2,184,15.3999996185303,88
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,3,4,1,2,175,15.6000003814697,86
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,4,4,1,2,174,15.3000001907349,89
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,5,4,1,2,182,14.8999996185303,93
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,6,4,1,2,178,14.6000003814697,91
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,7,3,1,21,186,14.3000001907349,92
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,8,4,10,53,197,14.1000003814697,94
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,9,4,2,27,182,14.6000003814697,90
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,10,4,1,7,180,14.1999998092651,95
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,11,3,1,9,174,14.1000003814697,98
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,12,3,1,5,178,14.1000003814697,100
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,13,3,1,6,174,14.1000003814697,100
12,Estación móvil zona Portuarios,43.55328,-5.702679,2023-10-23,14,3,4,24,160,14.8000001907349,99
