idClienteEprinsa,AñoMes,Identificador,idValue,NumLámparasTotal,NumLámparasMercurio,NumLámparasHalogenuros,NumLámparasFluorescentes,NumLámparasSodio,NumLámparasLED,NumLámparasOtros,Tipo,same_as_wikidata_type_of_electronic,Dirección,Descripción,IdSiguiente,CoordenadaX,UTM coordinates,CoordenadaY
1009,202406,NDA.ENE.007.1814575,1814575,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Francisco Pérez, 6",Puntos de luz - BELMEZ,1814575,307259,"30T 307259 4231743","4231743"
1009,202406,NDA.ENE.007.1814021,1814021,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Nueva, 20",Puntos de luz - BELMEZ,1814021,306824,"30T 306824 4238507","4238507"
1009,202406,NDA.ENE.007.1814184,1814184,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Paseo, 18",Puntos de luz - BELMEZ,1814184,306715,"30T 306715 4237854","4237854"
1009,202406,NDA.ENE.007.1814699,1814699,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Nueva {Doña Rama}, 22",Puntos de luz - BELMEZ,1814699,301166,"30T 301166 4232815","4232815"
1009,202406,NDA.ENE.007.1814529,1814529,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814529,299560,"30T 299560 4235707","4235707"
1009,202406,NDA.ENE.007.1814436,1814436,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Pedroche, 98",Puntos de luz - BELMEZ,1814436,307065,"30T 307065 4238706","4238706"
1009,202406,NDA.ENE.007.1814651,1814651,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Umbría, 21",Puntos de luz - BELMEZ,1814651,299177,"30T 299177 4235660","4235660"
1009,202406,NDA.ENE.007.1814702,1814702,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Doña Rama}, 2",Puntos de luz - BELMEZ,1814702,301040,"30T 301040 4232857","4232857"
1009,202406,NDA.ENE.007.1814809,1814809,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 15",Puntos de luz - BELMEZ,1814809,306905,"30T 306905 4237907","4237907"
1009,202406,NDA.ENE.007.1814363,1814363,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Calvario, 1",Puntos de luz - BELMEZ,1814363,307028,"30T 307028 4238439","4238439"
1009,202406,NDA.ENE.007.1813832,1813832,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813832,307276,"30T 307276 4238838","4238838"
1009,202406,NDA.ENE.007.1814655,1814655,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Nueva {Hoyo}, 14",Puntos de luz - BELMEZ,1814655,299496,"30T 299496 4235728","4235728"
1009,202406,NDA.ENE.007.1814059,1814059,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Vinculo, 26",Puntos de luz - BELMEZ,1814059,306681,"30T 306681 4238694","4238694"
1009,202406,NDA.ENE.007.1814100,1814100,955,0,917,0,0,38,0,LED lamp,https://wikidata.org/entity/Q1553201,,Puntos de luz - BELMEZ,1814100,307274,"30T 307274 4238300","4238300"
1009,202406,NDA.ENE.007.1814001,1814001,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Santa María, 3",Puntos de luz - BELMEZ,1814001,306693,"30T 306693 4238392","4238392"
1009,202406,NDA.ENE.007.1814275,1814275,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Calatrava, 1",Puntos de luz - BELMEZ,1814275,306893,"30T 306893 4238073","4238073"
1009,202406,NDA.ENE.007.1814632,1814632,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Soledad, 3",Puntos de luz - BELMEZ,1814632,299283,"30T 299283 4235724","4235724"
1009,202406,NDA.ENE.007.1814261,1814261,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 9",Puntos de luz - BELMEZ,1814261,306886,"30T 306886 4238012","4238012"
1009,202406,NDA.ENE.007.1813876,1813876,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813876,306380,"30T 306380 4238649","4238649"
1009,202406,NDA.ENE.007.1814229,1814229,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 33",Puntos de luz - BELMEZ,1814229,307015,"30T 307015 4237604","4237604"
1009,202406,NDA.ENE.007.1814607,1814607,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814607,307286,"30T 307286 4238056","4238056"
1009,202406,NDA.ENE.007.1814117,1814117,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Bélmez, 73",Puntos de luz - BELMEZ,1814117,307189,"30T 307189 4238191","4238191"
1009,202406,NDA.ENE.007.1814569,1814569,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Lagares, 4",Puntos de luz - BELMEZ,1814569,307304,"30T 307304 4231696","4231696"
1009,202406,NDA.ENE.007.1814479,1814479,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Santiago, 13",Puntos de luz - BELMEZ,1814479,306507,"30T 306507 4238239","4238239"
1009,202406,NDA.ENE.007.1814627,1814627,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Nueva {Hoyo}, 8",Puntos de luz - BELMEZ,1814627,299489,"30T 299489 4235706","4235706"
1009,202406,NDA.ENE.007.1814223,1814223,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Parque, 9",Puntos de luz - BELMEZ,1814223,306839,"30T 306839 4237947","4237947"
1009,202406,NDA.ENE.007.1814228,1814228,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814228,306884,"30T 306884 4237818","4237818"
1009,202406,NDA.ENE.007.1814326,1814326,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Córdoba, 95",Puntos de luz - BELMEZ,1814326,307269,"30T 307269 4237987","4237987"
1009,202406,NDA.ENE.007.1814624,1814624,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Hoyo}, 38",Puntos de luz - BELMEZ,1814624,299199,"30T 299199 4235604","4235604"
1009,202406,NDA.ENE.007.1814475,1814475,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle San Antonio, 42",Puntos de luz - BELMEZ,1814475,306544,"30T 306544 4238310","4238310"
1009,202406,NDA.ENE.007.1814517,1814517,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Hoyo, 72",Puntos de luz - BELMEZ,1814517,306206,"30T 306206 4238057","4238057"
1009,202406,NDA.ENE.007.1813915,1813915,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Fuente Obejuna, 41",Puntos de luz - BELMEZ,1813915,307423,"30T 307423 4238172","4238172"
1009,202406,NDA.ENE.007.1814272,1814272,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Plaza del Santo, 13",Puntos de luz - BELMEZ,1814272,306842,"30T 306842 4238100","4238100"
1009,202406,NDA.ENE.007.1814352,1814352,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Pozonuevo, 49",Puntos de luz - BELMEZ,1814352,307004,"30T 307004 4238379","4238379"
1009,202406,NDA.ENE.007.1876824,1876824,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1876824,307249,"30T 307249 4238824","4238824"
1009,202406,NDA.ENE.007.1814116,1814116,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Bélmez, 74",Puntos de luz - BELMEZ,1814116,307163,"30T 307163 4238194","4238194"
1009,202406,NDA.ENE.007.1814773,1814773,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Santa María, 14",Puntos de luz - BELMEZ,1814773,306660,"30T 306660 4238382","4238382"
1009,202406,NDA.ENE.007.1814448,1814448,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814448,307024,"30T 307024 4238791","4238791"
1009,202406,NDA.ENE.007.1813950,1813950,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813950,306322,"30T 306322 4239204","4239204"
1009,202406,NDA.ENE.007.1814350,1814350,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Trajano, 19",Puntos de luz - BELMEZ,1814350,307125,"30T 307125 4238347","4238347"
1009,202406,NDA.ENE.007.1814002,1814002,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Santa María, 1",Puntos de luz - BELMEZ,1814002,306702,"30T 306702 4238410","4238410"
1009,202406,NDA.ENE.007.1814635,1814635,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Hoyo}, 44",Puntos de luz - BELMEZ,1814635,299165,"30T 299165 4235591","4235591"
1009,202406,NDA.ENE.007.1814042,1814042,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814042,307755,"30T 307755 4238238","4238238"
1009,202406,NDA.ENE.007.1814570,1814570,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Lagares, 1",Puntos de luz - BELMEZ,1814570,307325,"30T 307325 4231705","4231705"
1009,202406,NDA.ENE.007.1813912,1813912,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Fuente Obejuna, 42",Puntos de luz - BELMEZ,1813912,307485,"30T 307485 4238186","4238186"
1009,202406,NDA.ENE.007.1814302,1814302,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Lermanda, 4",Puntos de luz - BELMEZ,1814302,307049,"30T 307049 4238072","4238072"
1009,202406,NDA.ENE.007.1814677,1814677,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Doña Rama}, 1",Puntos de luz - BELMEZ,1814677,300825,"30T 300825 4232847","4232847"
1009,202406,NDA.ENE.007.1814004,1814004,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Coso, 5",Puntos de luz - BELMEZ,1814004,306673,"30T 306673 4238440","4238440"
1009,202406,NDA.ENE.007.1813885,1813885,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813885,306738,"30T 306738 4237791","4237791"
