ID,NAME,SCHEDULE,STREET_NAME,same_as_wikidata_street_name,STRET_NUMBER,NEIGHBOURHOOD,same_as_wikidata_neighbourhood,DISTRICT,same_as_wikidata_district,VEHICLE_TYPE,TOTAL_SLOTS
11483771,Aparcamiento disuasorio Aviación Española,24 hour,CALLE FUENTE DE LIMA,,5,Las Águilas,https://wikidata.org/entity/Q5971372,Latina,https://wikidata.org/entity/Q794954,CAR MOTORCYCLE BICYCLE,"379.0"
10489514,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,6:00-22:00,"Avenida de Arcentales, Madrid",https://wikidata.org/entity/Q56155322,37,Rosas,https://wikidata.org/entity/Q18880469,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CAR MOTORCYCLE BICYCLE,"3072.0"
11413444,Aparcamiento disuasorio Fuente de la Mora,24 hour,Manoteras,https://wikidata.org/entity/Q3844841,1,Valdefuentes,https://wikidata.org/entity/Q10388714,Hortaleza,https://wikidata.org/entity/Q1928529,CAR MOTORCYCLE,"402.0"
11544464,Aparcamiento disuasorio Islazul,24 hour,CALLE CALDERILLA,,1,Buenavista,https://wikidata.org/entity/Q953929,Carabanchel,https://wikidata.org/entity/Q1001991,CAR,"224.0"
11413620,Aparcamiento disuasorio Pitis,24 hour,Gloria Fuertes,https://wikidata.org/entity/Q110747394,5,Fuentelarreina,https://wikidata.org/entity/Q10286156,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CAR MOTORCYCLE,"436.0"
11544480,Aparcamiento mixto. Alcántara,24 hour,"Calle de Alcántara, Madrid",https://wikidata.org/entity/Q28070781,26,Goya,https://wikidata.org/entity/Q3814578,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"121.0"
13470,Aparcamiento mixto. Arquitecto Ribera,24 hour,calle de Barceló,https://wikidata.org/entity/Q27051120,2,Justicia,https://wikidata.org/entity/Q1992319,Centro,https://wikidata.org/entity/Q1763376,CAR,"318.0"
59060,Aparcamiento mixto. Avenida de América (intercambiador),24 hour,"Avenida de América, Madrid",https://wikidata.org/entity/Q5686040,9,Prosperidad,https://wikidata.org/entity/Q4776,Chamartín,https://wikidata.org/entity/Q1766348,CAR,"291.0"
5898885,Aparcamiento mixto. Avenida de Portugal,6:00-22:00,Avenida de Portugal,https://wikidata.org/entity/Q26736141,155,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,Latina,https://wikidata.org/entity/Q794954,CAR,"428.0"
13475,Aparcamiento mixto. Brasil,24 hour,"Calle de San Germán, Madrid",https://wikidata.org/entity/Q26750807,7,Cuatro Caminos,https://wikidata.org/entity/Q5824684,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"226.0"
183747,Aparcamiento mixto. Casino de la Reina,24 hour,"Calle del Casino, Madrid",https://wikidata.org/entity/Q26248358,3,Embajadores,https://wikidata.org/entity/Q2449844,Centro,https://wikidata.org/entity/Q1763376,CAR,"135.0"
13477,Aparcamiento mixto. Condesa de Gavia,9:00-20:40,PLAZA CONDESA DE GAVIA,,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"146.0"
81736,Aparcamiento mixto. Corona Boreal,24 hour,CALLE PEREZ DE VICTORIA,,2,Aravaca,https://wikidata.org/entity/Q3314682,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CAR,"125.0"
183748,Aparcamiento mixto. Daoíz y Velarde,24 hour,Avenida de la Ciudad de Barcelona,https://wikidata.org/entity/Q5714227,156,Pacífico,https://wikidata.org/entity/Q3773753,Retiro,https://wikidata.org/entity/Q2002296,CAR,"235.0"
44724,Aparcamiento mixto. Díaz Porlier,24 hour,"Calle de Diego de León, Madrid",https://wikidata.org/entity/Q28059485,64,Lista,https://wikidata.org/entity/Q4779,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"203.0"
36269,Aparcamiento mixto. Encuentro,24 hour,El Encuentro,https://wikidata.org/entity/Q110746672,5,Media Legua,https://wikidata.org/entity/Q9031035,Moratalaz,https://wikidata.org/entity/Q2076109,CAR,"104.0"
13464,Aparcamiento mixto. Felipe II,24 hour,Calle de Goya,https://wikidata.org/entity/Q28015873,88,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"1175.0"
24809,Aparcamiento mixto. Fernández Shaw,24 hour,CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW,,1,Adelfas,https://wikidata.org/entity/Q3774001,Retiro,https://wikidata.org/entity/Q2002296,CAR,"245.0"
13462,Aparcamiento mixto. Fuencarral,24 hour,calle de Fuencarral,https://wikidata.org/entity/Q5740840,121,Trafalgar,https://wikidata.org/entity/Q10384027,Chamberí,https://wikidata.org/entity/Q1763370,CAR,"410.0"
36270,Aparcamiento mixto. Hernani,24 hour,"Calle de Hernani, Madrid",https://wikidata.org/entity/Q26833571,79,Cuatro Caminos,https://wikidata.org/entity/Q5824684,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"115.0"
13459,Aparcamiento mixto. Jacinto Benavente,24 hour,Plaza de Jacinto Benavente,https://wikidata.org/entity/Q6080004,6,Cortes,https://wikidata.org/entity/Q2535637,Centro,https://wikidata.org/entity/Q1763376,CAR MOTORCYCLE,"292.0"
13479,Aparcamiento mixto. José Castán Tobeñas,24 hour,"Calle del Poeta Joan Maragall, Madrid",https://wikidata.org/entity/Q26810980,57,Castillejos,https://wikidata.org/entity/Q11913212,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"231.0"
6143690,Aparcamiento mixto. Marqués de Salamanca,24 hour,"Plaza del Marqués de Salamanca, Madrid",https://wikidata.org/entity/Q16620302,0,Castellana,https://wikidata.org/entity/Q4781,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"356.0"
182188,Aparcamiento mixto. Miguel Yuste,24 hour,CALLE MIGUEL YUSTE,,64,Simancas,https://wikidata.org/entity/Q10371626,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,CAR,"168.0"
13465,Aparcamiento mixto. Montalbán,24 hour,"Calle de Montalbán, Madrid",https://wikidata.org/entity/Q29903983,4,Jerónimos,https://wikidata.org/entity/Q10306766,Retiro,https://wikidata.org/entity/Q2002296,CAR,"146.0"
5517342,Aparcamiento mixto. Orense,24 hour,avenida de Brasil,https://wikidata.org/entity/Q27212874,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"129.0"
52114,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',24 hour,plaza de Pedro Zerolo,https://wikidata.org/entity/Q6080146,1,Justicia,https://wikidata.org/entity/Q1992319,Centro,https://wikidata.org/entity/Q1763376,CAR,"113.0"
33440,Aparcamiento mixto. Plaza de Oriente,24 hour,Oriente square,https://wikidata.org/entity/Q2193218,9,Palacio,https://wikidata.org/entity/Q2136510,Centro,https://wikidata.org/entity/Q1763376,CAR,"242.0"
11544439,Aparcamiento mixto. Plaza de Santo Domingo,24 hour,Plaza de Santo Domingo,https://wikidata.org/entity/Q6080106,0,Palacio,https://wikidata.org/entity/Q2136510,Centro,https://wikidata.org/entity/Q1763376,CAR MOTORCYCLE,"336.0"
13466,Aparcamiento mixto. Plaza Mayor,24 hour,Main Square,https://wikidata.org/entity/Q1123493,1,Sol,https://wikidata.org/entity/Q2465181,Centro,https://wikidata.org/entity/Q1763376,CAR,"694.0"
