ID,NAME,SCHEDULE,STREET_NAME,STRET_NUMBER,NEIGHBOURHOOD,DISTRICT,VEHICLE_TYPE,TOTAL_SLOTS
11483771,Aparcamiento disuasorio Aviación Española,24 hour,CALLE FUENTE DE LIMA,5,LAS AGUILAS,LATINA,CAR MOTORCYCLE BICYCLE,379.0
10489514,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,6:00-22:00,AVENIDA ARCENTALES,37,ROSAS,SAN BLAS-CANILLEJAS,CAR MOTORCYCLE BICYCLE,3072.0
11413444,Aparcamiento disuasorio Fuente de la Mora,24 hour,AVENIDA MANOTERAS,1,VALDEFUENTES,HORTALEZA,CAR MOTORCYCLE,402.0
11544464,Aparcamiento disuasorio Islazul,24 hour,CALLE CALDERILLA,1,BUENAVISTA,CARABANCHEL,CAR,224.0
11413620,Aparcamiento disuasorio Pitis,24 hour,CALLE GLORIA FUERTES,5,FUENTELARREINA,FUENCARRAL-EL PARDO,CAR MOTORCYCLE,436.0
11544480,Aparcamiento mixto. Alcántara,24 hour,CALLE ALCANTARA,26,GOYA,SALAMANCA,CAR,121.0
13470,Aparcamiento mixto. Arquitecto Ribera,24 hour,CALLE BARCELO,2,JUSTICIA,CENTRO,CAR,318.0
59060,Aparcamiento mixto. Avenida de América (intercambiador),24 hour,AVENIDA AMERICA,9,PROSPERIDAD,CHAMARTIN,CAR,291.0
5898885,Aparcamiento mixto. Avenida de Portugal,6:00-22:00,AVENIDA PORTUGAL,155,PUERTA DEL ANGEL,LATINA,CAR,428.0
13475,Aparcamiento mixto. Brasil,24 hour,CALLE SAN GERMAN,7,CUATRO CAMINOS,TETUAN,CAR,226.0
183747,Aparcamiento mixto. Casino de la Reina,24 hour,CALLE CASINO,3,EMBAJADORES,CENTRO,CAR,135.0
13477,Aparcamiento mixto. Condesa de Gavia,9:00-20:40,PLAZA CONDESA DE GAVIA,2,CUATRO CAMINOS,TETUAN,CAR,146.0
81736,Aparcamiento mixto. Corona Boreal,24 hour,CALLE PEREZ DE VICTORIA,2,ARAVACA,MONCLOA-ARAVACA,CAR,125.0
183748,Aparcamiento mixto. Daoíz y Velarde,24 hour,AVENIDA CIUDAD DE BARCELONA,156,PACIFICO,RETIRO,CAR,235.0
44724,Aparcamiento mixto. Díaz Porlier,24 hour,CALLE DIEGO DE LEON,64,LISTA,SALAMANCA,CAR,203.0
36269,Aparcamiento mixto. Encuentro,24 hour,PLAZA ENCUENTRO,5,MEDIA LEGUA,MORATALAZ,CAR,104.0
13464,Aparcamiento mixto. Felipe II,24 hour,CALLE GOYA,88,RECOLETOS,SALAMANCA,CAR,1175.0
24809,Aparcamiento mixto. Fernández Shaw,24 hour,CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW,1,ADELFAS,RETIRO,CAR,245.0
13462,Aparcamiento mixto. Fuencarral,24 hour,CALLE FUENCARRAL,121,TRAFALGAR,CHAMBERI,CAR,410.0
36270,Aparcamiento mixto. Hernani,24 hour,CALLE HERNANI,79,CUATRO CAMINOS,TETUAN,CAR,115.0
13459,Aparcamiento mixto. Jacinto Benavente,24 hour,PLAZA JACINTO BENAVENTE,6,CORTES,CENTRO,CAR MOTORCYCLE,292.0
