PK,NOMBRE,HORARIO,DESCRIPCION,NOMBRE_CALLE,NUM,BARRIO,DISTRITO
11483771,Aparcamiento disuasorio Aviación Española,0:00-0:00,"Plazas:  para automóviles: 344 (de las cuales, 10 para coche eléctrico) para motocicletas: 25 para bicicletas: 10   Código del aparcamiento: 1024",CALLE FUENTE DE LIMA,5,LAS AGUILAS,LATINA
10489514,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,6:00-22:00,Plazas:  para automóviles: 3011 para motocicletas: 61,AVENIDA ARCENTALES,37,ROSAS,SAN BLAS-CANILLEJAS
11413444,Aparcamiento disuasorio Fuente de la Mora,0:00-0:00,"Plazas:  para automóviles: 368 (de las cuales, 10 para coche eléctrico y 12 para coches adaptados PMR) para motocicletas: 35   Código del aparcamiento: 1626",AVENIDA MANOTERAS,1,VALDEFUENTES,HORTALEZA
11544464,Aparcamiento disuasorio Islazul,,Número de plazas: 224 plazas  Código del aparcamiento: 1114,CALLE CALDERILLA,1,BUENAVISTA,CARABANCHEL
11413620,Aparcamiento disuasorio Pitis,0:00-0:00,"Plazas:  para automóviles: 402 (de las cuales, 10 para coche eléctrico y 12 para coches adaptados PMR) para motocicletas: 34   Código del aparcamiento: 828",CALLE GLORIA FUERTES,,FUENTELARREINA,FUENCARRAL-EL PARDO
11544480,Aparcamiento mixto. Alcántara,,Plazas: 121 públicas y 254 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE ALCANTARA,26,GOYA,SALAMANCA
13470,Aparcamiento mixto. Arquitecto Ribera,,Plazas: 318 públicas y 298 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,CALLE BARCELO,2,JUSTICIA,CENTRO
59060,Aparcamiento mixto. Avenida de América (intercambiador),,"Información sobre accesibilidad:  Tiene escaleras adaptadas Ascensor de salida a la calle Avenida de América, 9 Tiene aseos accesibles Plazas para minusválidos    Plazas: 261 públicas y 395 para residentes  Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",AVENIDA AMERICA,9,PROSPERIDAD,CHAMARTIN
5898885,Aparcamiento mixto. Avenida de Portugal,6:00-22:00,"Plazas: 428 públicas y 445 para residentes  Informacion sobre accesibilidad:  No tiene escalera adaptada Tiene ascensor de salida a Avenida de Portugal, s/n 1 aseo accesible (nivel-3) Plazas para minusválidos residentes: 20   Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)",AVENIDA PORTUGAL,155,PUERTA DEL ANGEL,LATINA
13475,Aparcamiento mixto. Brasil,,Plazas: 226 públicas y 402 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE SAN GERMAN,7,CUATRO CAMINOS,TETUAN
183747,Aparcamiento mixto. Casino de la Reina,,Plazas: 135 públicas y 449 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE CASINO,3,EMBAJADORES,CENTRO
13477,Aparcamiento mixto. Condesa de Gavia,,Plazas: 146 públicas y 79 para residentes  El horario de apertura para la parte del aparcamiento rotacional es de lunes a viernes de 9:00h a 20:40h. Sábados de 9:00 a 14:30h.  Titularidad: Ayuntamiento de Madrid,PLAZA CONDESA DE GAVIA,2,CUATRO CAMINOS,TETUAN
81736,Aparcamiento mixto. Corona Boreal,,Plazas: 125 públicas y 125 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas Ascensor de salida a la calle Pérez de Victoria 2 aseos accesibles (1&amp;ordf; planta) Plazas para minusválidos residentes: 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,CALLE PEREZ DE VICTORIA,2,ARAVACA,MONCLOA-ARAVACA
183748,Aparcamiento mixto. Daoíz y Velarde,,Plazas: 235 públicas y 253 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,AVENIDA CIUDAD DE BARCELONA,156,PACIFICO,RETIRO
44724,Aparcamiento mixto. Díaz Porlier,,Plazas: 203 públicas y 421 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE DIEGO DE LEON,64,LISTA,SALAMANCA
36269,Aparcamiento mixto. Encuentro,,Plazas: 104 públicas y 550 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,PLAZA ENCUENTRO,5,MEDIA LEGUA,MORATALAZ
13464,Aparcamiento mixto. Felipe II,,Plazas: 1175 públicas rotacionales y 615 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor de salida a la plaza de Felipe II Aseo accesible (1&amp;ordf; planta) Plazas para minusválidos residentes:23   Abierto 24 horas   Admite tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,CALLE GOYA,88,RECOLETOS,SALAMANCA
24809,Aparcamiento mixto. Fernández Shaw,,Plazas: 245 públicas y 350 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW,1,ADELFAS,RETIRO
13462,Aparcamiento mixto. Fuencarral,,"Plazas: 410 públicas y 111 para residentes  Información sobre accesibilidad:   No tiene escalera adaptada 1 ascensor con salida a la calle Fuencarral, 117 1 aseo accesible en la 1&amp;ordf; planta Plazas para minusválidos residentes: 7   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid",CALLE FUENCARRAL,121,TRAFALGAR,CHAMBERI
36270,Aparcamiento mixto. Hernani,,"Plazas: 115 públicas y 380 residentes  Información sobre accesibilidad:  No tiene escaleras adptadas Ascensor de salida a la calle Hernai, 68 1 aseo accesible en 1&amp;ordf; planta Plazas para minusválidos residentes. 3    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid",CALLE HERNANI,79,CUATRO CAMINOS,TETUAN
13459,Aparcamiento mixto. Jacinto Benavente,,"Plazas: 285 públicas y 110 para residentes.  Plazas motos: 7.  Información sobre accesibilidad:   No tiene escaleras adaptadas Ascensor con salida a la calle Jacinto benavente, s/n 1 aseo accesible Plaza para minusválidos residentes: 16  Abierto 24 horas  Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información)",PLAZA JACINTO BENAVENTE,6,CORTES,CENTRO
13479,Aparcamiento mixto. José Castán Tobeñas,,Plazas: 226 públicas y 43 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas No disponde ascensor No disponde de aseos accesible Plazas para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,CALLE POETA JOAN MARAGALL,57,CASTILLEJOS,TETUAN
