Distrito,Apartado,Número de archivo,Denominación,Situación
CENTRO,INSTALACIONES DE RESTAURACIÓN,12040,QUIOSCO DE BEBIDAS,QUIOSCO DE BEBIDAS CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15021,PUESTO DE LIBROS,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15022,Centro de transformación eléctrica,FRENTE Nº 2 CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15038,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15039,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15040,QUIOSCO DE PRENSA,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15041,INSTALACIONES DE HIGIENE Y ASEO DISTRITO CENTRO,CENTRO
CENTRO,HUERTOS URBANOS,12101,HUERTO COMUNITARIO LA CORNISA,CENTRO
CENTRO,HUERTOS URBANOS,12102,HUERTO COMUNITARIO CASINO DE LA REINA,CENTRO
CENTRO,HUERTOS URBANOS,12103,HUERTO COMUNITARIO BARCELÓ,CENTRO
ARGANZUELA,INSTALACIONES DE RESTAURACIÓN,12091,MADRID RÍO QUIOSCO PUNTO DE VENTA TIPO C3,ARGANZUELA
ARGANZUELA,INSTALACIONES DE RESTAURACIÓN,12092,MADRID RÍO CAFÉ PLAYA,ARGANZUELA
ARGANZUELA,INSTALACIONES DEPORTIVAS,13018,INSTALACIÓN DEPORTIVA DE REMO Y PIRAGÜISMO,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15014,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15015,SUBESTACIÓN DE TRANSFORMACIÓN ELÉCTRICA,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15024,Punto de venta,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15025,Punto de venta,Entorno CEDEX. ARGANZUELA
