Distrito;Subepígrafe;Apartado;Número de archivo;Denominación;Situación
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12040;QUIOSCO DE BEBIDAS                                                                                                                                                                                        ;QUIOSCO DE BEBIDAS CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15021;PUESTO DE LIBROS                                                                                                                                                                                          ; CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15022;Centro de transformación eléctrica                                                                                                                                                                        ;FRENTE Nº 2 CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.038;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.039;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.040;QUIOSCO DE PRENSA                                                                                                                                                                                         ; CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.041;INSTALACIONES DE HIGIENE Y ASEO DISTRITO CENTRO                                                                                                                                                           ; CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.101;HUERTO COMUNITARIO LA CORNISA                                                                                                                                                                             ; CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.102;HUERTO COMUNITARIO CASINO DE LA REINA                                                                                                                                                                     ; CENTRO
CENTRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.103;HUERTO COMUNITARIO BARCELÓ                                                                                                                                                                                ; CENTRO
ARGANZUELA                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.091;MADRID RÍO QUIOSCO PUNTO DE VENTA TIPO C3                                                                                                                                                                 ; ARGANZUELA
ARGANZUELA                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.092;MADRID RÍO CAFÉ PLAYA                                                                                                                                                                                     ; ARGANZUELA
ARGANZUELA                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13.018;INSTALACIÓN DEPORTIVA DE REMO Y PIRAGÜISMO                                                                                                                                                                ; ARGANZUELA
ARGANZUELA                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15014;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; ARGANZUELA
ARGANZUELA                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15015;SUBESTACIÓN DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                   ; ARGANZUELA
ARGANZUELA                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15024;Punto de venta                                                                                                                                                                                            ; ARGANZUELA
ARGANZUELA                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15025;Punto de venta                                                                                                                                                                                            ;Entorno CEDEX. ARGANZUELA
