ID,URI,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO
65239,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/65239,APARCABICICLETAS,215,CORRALEJOS,21,BARAJAS,OPERATIVO,449732.02,4479526.49,ETRS89,40.46489143,-3.59293482,CALLE,BAHIA DE POLLENSA,5,28042,PORTAL,31011498,2021-09-14T00:00:00Z,1034222,MU21,MU-51
71328,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/71328,APARCABICICLETAS,207,CANILLEJAS,20,SAN BLAS - CANILLEJAS,OPERATIVO,447951.56,4477290.42,ETRS89,40.444638,-3.61375175,CALLE,BOLTAÑA,11,28022,FRENTE FACHADA,20151791,2021-09-16T00:00:00Z,1080237,MU21,MU-51
72245,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/72245,APARCABICICLETAS,202,HELLIN,20,SAN BLAS - CANILLEJAS,OPERATIVO,448147.97,4475538.85,ETRS89,40.42887106,-3.6112929,CALLE,ARCOS DE JALON,59,28037,PORTAL,31032030,2021-09-21T00:00:00Z,1088953,MU21,MU-51
72888,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/72888,APARCABICICLETAS,203,AMPOSTA,20,SAN BLAS - CANILLEJAS,OPERATIVO,447588.54,4475528.41,ETRS89,40.42874195,-3.61788689,CALLE,ALBERIQUE,12,28037,JARDIN,31044559,2021-09-14T00:00:00Z,1092880,MU21,MU-51
72940,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/72940,APARCABICICLETAS,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,449926.67,4478040.32,ETRS89,40.45151487,-3.59052171,CALLE,BALANDRO,1,28042,JARDIN,31044565,2021-09-14T00:00:00Z,1086955,MU21,MU-51
72244,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/72244,APARCABICICLETAS,205,ROSAS,20,SAN BLAS - CANILLEJAS,OPERATIVO,448566.39,4475388.99,ETRS89,40.42754701,-3.60634821,AVENIDA,NIZA,8,28022,PORTAL,31031992,2019-01-29T00:00:00Z,1088951,MU21,MU-51
73112,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73112,APARCABICICLETAS,163,CANILLAS,16,HORTALEZA,OPERATIVO,444256.68,4479394.03,ETRS89,40.46334885,-3.65750359,CARRETERA,CANILLAS,2,28043,PORTAL,20039662,2021-05-06T00:00:00Z,1087030,MU21,MU-51
73159,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73159,APARCABICICLETAS,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,444675.61,4482480.5,ETRS89,40.49118123,-3.6528318,AVENIDA,ALCALDE CONDE DE MAYALDE,13,28050,GARAJE,31013358,2021-09-15T00:00:00Z,1025720,MU21,MU-51
73114,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73114,APARCABICICLETAS,163,CANILLAS,16,HORTALEZA,OPERATIVO,446289.58,4479641.46,ETRS89,40.46571173,-3.63354749,CALLE,ROSA DE CASTRO,17,28043,PORTAL,20157452,2021-09-21T00:00:00Z,1087175,MU21,MU-51
73169,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73169,APARCABICICLETAS,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,450772.41,4479224.18,ETRS89,40.46223034,-3.58064007,CALLE,RIAÑO,9,28042,PORTAL,11139933,2021-09-14T00:00:00Z,1034215,MU21,MU-51
73192,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73192,APARCABICICLETAS,163,CANILLAS,16,HORTALEZA,OPERATIVO,446285.58,4479640.46,ETRS89,40.46570246,-3.63359459,CALLE,PEDRO ALONSO,7,28043,FRENTE FACHADA,31047035,2020-03-03T00:00:00Z,979912,MU21,MU-51
73197,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73197,APARCABICICLETAS,151,VENTAS,15,CIUDAD LINEAL,OPERATIVO,444782.5,4475273.96,ETRS89,40.4262682,-3.65094366,AVENIDA,MARQUES DE CORBERA,54,28017,PORTAL,11103853,2021-09-16T00:00:00Z,1103684,MU21,MU-51
73191,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73191,APARCABICICLETAS,161,PALOMAS,16,HORTALEZA,OPERATIVO,447623.57,4478681.43,ETRS89,40.45714842,-3.61773391,AVENIDA,ANDES,52,28042,JARDIN,31014972,2021-09-08T00:00:00Z,981058,MU21,MU-51
73199,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73199,APARCABICICLETAS,151,VENTAS,15,CIUDAD LINEAL,OPERATIVO,444781.2,4475275.06,ETRS89,40.42627803,-3.65095908,AVENIDA,MARQUES DE CORBERA,54,28017,PORTAL,11103853,2019-01-29T00:00:00Z,1103575,MU21,MU-51
73203,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/73203,APARCABICICLETAS,213,CASCO HISTORICO DE BARAJAS,21,BARAJAS,OPERATIVO,451016.82,4480588.32,ETRS89,40.47453379,-3.57786272,CALLE,ORION,3,28042,PORTAL,11140690,2019-01-29T00:00:00Z,1017179,MU21,MU-51
76172,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/76172,APARCABICICLETAS,208,EL SALVADOR,20,SAN BLAS - CANILLEJAS,OPERATIVO,445869.56,4477178.45,ETRS89,40.44349636,-3.6382916,CALLE,MARIA LOMBILLO,2,28027,PORTAL,20151243,2021-09-23T00:00:00Z,1089044,MU21,MU-51
76175,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/76175,APARCABICICLETAS,208,EL SALVADOR,20,SAN BLAS - CANILLEJAS,OPERATIVO,445871.56,4477181.45,ETRS89,40.44352352,-3.63826827,CALLE,MARIA LOMBILLO,2,28027,PORTAL,20151245,2021-09-22T00:00:00Z,1089047,MU21,MU-51
76180,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/76180,APARCABICICLETAS,159,COSTILLARES,15,CIUDAD LINEAL,OPERATIVO,443615.01,4481285.03,ETRS89,40.48034054,-3.66523983,CALLE,JAZMIN,15,28033,FRENTE FACHADA,11112772,2021-09-17T00:00:00Z,1089082,MU21,MU-51
