ANO,MES,DIA,PROVINCIA,MUNICIPIO,NUMERO_MUNICIPIO,NOMBRE_MUNICIPIO,same_as_wikidata_madrid,ESTACION,UBICACION,same_as_wikidata_madrid_landmarks,MAGNITUD,PUNTO_MUESTREO,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,4,plaza de España,http://wikidata.org/entity/Q1326261,1,28079004_1_38,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,4,plaza de España,http://wikidata.org/entity/Q1326261,6,28079004_6_48,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,4,plaza de España,http://wikidata.org/entity/Q1326261,7,28079004_7_8,2,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,4,plaza de España,http://wikidata.org/entity/Q1326261,8,28079004_8_8,5,4,2,2,2,3,2,2,5,4,3,4,3,3,4,3,2,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,4,plaza de España,http://wikidata.org/entity/Q1326261,12,28079004_12_8,8,5,3,4,3,4,3,4,6,6,7,7,7,6,7,5,3,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,8,Escuelas Aguirre,http://wikidata.org/entity/Q5397501,1,28079008_1_38,4,4,4,5,5,7,6,6,5,5,5,5,6,5,5,6,5,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,8,Escuelas Aguirre,http://wikidata.org/entity/Q5397501,6,28079008_6_48,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,8,Escuelas Aguirre,http://wikidata.org/entity/Q5397501,7,28079008_7_8,5,4,4,3,3,2,3,3,4,5,6,7,9,7,6,5,5,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,8,Escuelas Aguirre,http://wikidata.org/entity/Q5397501,8,28079008_8_8,14,11,9,7,6,6,7,7,8,10,9,10,11,11,10,7,7,9,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,8,Escuelas Aguirre,http://wikidata.org/entity/Q5397501,9,28079008_9_47,13,14,20,25,30,31,33,36,36,33,36,30,32,34,29,22,27,32,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
